Name,UserName,Time,Text,Likes,Retweets,TweetURL,UserURL,City,Country
Gerald Butts,gmbutts,1/24/2022 22:24,"I'm glad serious researchers are taking up this issue, but these conclusions are pretty shaky. The study finds views about climate change more likely to be determined by partisan affiliation than economic interest, but... 1/x
Quote Tweet
Matto Mildenberger
@mmildenberger
 · Jan 24
New research in @NatureClimate w/ @erickUdeM, @ProfKHarrison and I. Stadelmann-Steffen. Two countries have set up carbon tax + rebates: Canada + Switzerland. Have these rebates increased public carbon pricing support, as advocates hope? Not really. 1/  https://nature.com/articles/s41558-021-01268-3…
Show this thread
17
17
50",17,50,https://twitter.com/gmbutts/status/1485740238043496448,https://twitter.com/gmbutts,0,0
Gerald Butts,gmbutts,1/24/2022 22:27,"1. Partisan adhesion in Canada is weak and partly determined by people's views on climate change.

2. There is no doubt that in the real world the rebate moved large numbers of Canadians off the fence and into the support category, when it was communicated consistently. 2/x
3
2
31",2,31,https://twitter.com/gmbutts/status/1485740993961996292,https://twitter.com/gmbutts,0,0
Abigail Boyd,AbigailBoydMLC,3/7/2022 23:46,"Minister Ayers, what are you doing to assist the people of Western Sydney to cope with the extreme heat and weather events caused by climate change? “Targets, new homes built smarter, trying to grow more trees, the market will save us, blah blah” - so nothing then.
1
8
12",8,12,https://twitter.com/AbigailBoydMLC/status/1500981176772665345,https://twitter.com/AbigailBoydMLC,0,0
Warren Gunnels,GunnelsWarren,2/22/2022 23:49,"I want cable news to cover the child poverty rate in America going up 41% last month, Starbucks illegally firing pro-union workers, the existential threat of climate change and 745 oligarchs in America becoming $2.1 trillion richer during the pandemic as much as it covers war.
179
5,418
20.3K",5418,203000,https://twitter.com/GunnelsWarren/status/1496270961015984130,https://twitter.com/GunnelsWarren,0,0
Scalawag,scalawagmag,3/21/2022 21:45,"""If we don't adapt the internet to the reality [of climate change], we'll be sunk long before sea levels get us.""

As warnings of potential tornadoes and large hail hit the Gulf Coast, the reality of climate change can't be ignored:
scalawagmagazine.org
Southern infrastructure wasn't designed for climate change
Experts warn that 4,000 miles of fiber optic cable may soon be underwater. ‘We’ll be sunk long before sea levels get us.’
1
9",1,9,https://twitter.com/scalawagmag/status/1506024105933524994,https://twitter.com/scalawagmag,0,0
Nigel Bagshaw,nigelbagshaw,4/11/2022 22:36,"What’s worse, letting down a few tyres or making a significant contribution to climate change and pollution?
bbc.co.uk
Activists deflate tyres on SUVs in Edinburgh
Climate campaigners argue residents with good public transport links don't need such large cars.
28
18
163",18,163,https://twitter.com/nigelbagshaw/status/1513647291009224704,https://twitter.com/nigelbagshaw,0,0
Nida Allam,NidaAllam,3/8/2022 23:27,"""We've seen a huge shift in how we talk about issues like climate change-- it's been pushed to the forefront thanks to the work of young folks like the Sunrise Movement.""
@SunriseDurham
 / 
@sunrisemvmtnc
 / 
@sunrisemvmt
 3
13",3,13,https://twitter.com/NidaAllam/status/1501338932822347781,https://twitter.com/NidaAllam,0,0
Women's Forum,Womens_Forum,9/23/2020 12:59,In our increasingly urban world there is so much opportunity for citiesalready responsible for 70 of global greenhousegas emissionsto lead the global fight against climate change Lets continue to reduce greenhouse emissions that are warming our planet engage4impact,2,0,https://twitter.com/Womens_Forum/status/81671664,https://twitter.com/Womens_Forum,0,0
New Narratives,newnarratives,4/10/2022 23:25,"“Years of living with the consequences of climate change have left Ms. Dhara gripped with anxiety, she said, unable to sleep soundly when it rains, afraid of what may come next.” A familiar experience to millions on the frontlines of climate change.
nytimes.com
Facing Disastrous Floods, They Turned to Mangrove Trees for Protection
In the Sundarbans, an ecological treasure straddling India and Bangladesh that is now on the front lines of climate change, local women are leading an effort to mitigate the dangers of rising waters.
4
7",4,7,https://twitter.com/newnarratives/status/1513297169519984646,https://twitter.com/newnarratives,0,0
David Caldicott,ACTINOSProject,3/12/2022 23:07,"Expensive?!
This is the cost of not having acted on climate change, over decades.
This a cost that lies at the door of every climate-change denier, past & present, who acted in their own self-interests, despite the warnings of those who knew where the science was taking us.
Quote Tweet
Ingrid M
@iMusing
 · Mar 12
the constant deployment of ADF to help communities is not sustainable, says O’Connor. So a civilian outfit? O’Connor says there will be increasing disasters and we need to do more. Expensive tho, says Speers. More expensive to not act, says O’Connor. #Insiders
Show this thread
2
6",2,6,https://twitter.com/ACTINOSProject/status/1502783356395978756,https://twitter.com/ACTINOSProject,0,0
David Caldicott,ACTINOSProject,3/28/2022 23:56,"I'd be terribly cautious about 'blaming' the 
@NSWSES
 , or the 
@NSWRFS
, for failings in flood response.
If Australia is as determined as it seems to be at embracing the mantle of 'global climate change pariah"", we'd better buckle up, & start funding our volunteer responders- PDQ.
4
19",4,19,https://twitter.com/ACTINOSProject/status/1508593873001791490,https://twitter.com/ACTINOSProject,0,0
Businessweek,BW,1/19/2022 21:32,"The next big risk to supply chains recovering from the pandemic: climate change
bloomberg.com
Covid-19 Hit Supply Chains Hard. Climate Shocks May Hurt More
Companies aren’t doing enough to map out risks from freak weather, say experts.
4
9
16",9,16,https://twitter.com/BW/status/1483915334310580229,https://twitter.com/BW,0,0
Businessweek,BW,2/27/2022 21:50,"Chile has embarked on a nearly unparalleled voyage of self-discovery—one that will be either a template or a warning for countries trying to tackle climate change and inequality
bloomberg.com
Chile’s Green Dream to Reinvent Itself Is Spooking Investors
The country’s efforts to create a new constitution could serve as a model or warning for tackling climate change and inequality.
1
5
12",5,12,https://twitter.com/BW/status/1498052838785753096,https://twitter.com/BW,0,0
Businessweek,BW,4/2/2022 22:51,"For years, science in the Arctic tended to ignore those living on the front lines of climate change.

Now, there's a new wave of climate science informed by Inuit knowledge and perspectives (via 
@climate
)
bloomberg.com
The Arctic Revolution That’s Changing Climate Science
Inuit groups spent decades hosting researchers from far away. Now they’re taking up the tools and reshaping the science.
1
8
19",8,19,https://twitter.com/BW/status/1510389462928351235,https://twitter.com/BW,0,0
Rachael C,rpcounat,4/2/2022 21:57,"Replying to 
@meekjulie
It’s apocalyptic looking isn’t it. The beach is gone. Water has risen so high. Climate change is here. Right now.
1
1
22",1,22,https://twitter.com/rpcounat/status/1510375838034055168,https://twitter.com/rpcounat,0,0
Courtney Milan,courtneymilan,3/19/2022 23:18,"Reducing the energy I use to alter the temperature in my house is a tiny drop in the climate change bucket, but it is going to make a huge difference in my actual life: in the comfort in my home, the amount I pay for energy.
3
19
305",19,305,https://twitter.com/courtneymilan/status/1505322741276110848,https://twitter.com/courtneymilan,0,0
Courtney Milan,courtneymilan,3/19/2022 23:19,"It’s not just about reducing carbon dioxide, either. It’s about reducing the impact of climate change on your life and your wallet.
1
8
225",8,225,https://twitter.com/courtneymilan/status/1505323208702013441,https://twitter.com/courtneymilan,0,0
Deb_Prothero,Deb_Prothero,2/20/2022 21:30,"Replying to 
@munakadri
 and 
@Debalap
#IStandWithTrudeau despite the onslaught of bots promoting negative reaction and CPC demonizing of the action, I remain strongly in support of PM Trudeau. We have to get through this pandemic so we can get to work on climate change and fixing income inequality.
13
5
54",5,54,https://twitter.com/Deb_Prothero/status/1495511210036449283,https://twitter.com/Deb_Prothero,0,0
Peter Fragiskatos,pfragiskatos,4/7/2022 21:45,"From confronting climate change, housing affordability, strengthening national defence and growing our economy, #Budget2022 sets a real foundation for Canada’s future. There’s so much here that will benefit the country and communities like #ldnont. Congratulations, 
@cafreeland
.
5
4
9",4,9,https://twitter.com/pfragiskatos/status/1512184781127266309,https://twitter.com/pfragiskatos,0,0
Climate Brides,ClimateBrides,3/26/2022 23:44," 'Gendered vulnerabilities to climate change: insights from the semi-arid regions of Asia and Africa.' 
@nityarao63
 et al., 2019.

Link: https://tandfonline.com/doi/full/10.1080/17565529.2017.1372266…

#ClimateBridesReads (1/n)
1
4
6",4,6,https://twitter.com/ClimateBrides/status/1507866158267052037,https://twitter.com/ClimateBrides,0,0
